id,name,type,total,hp,attack,defense,speed
1,Bulbasaur,Grass,318,45,49,49,45
2,Ivysaur,Grass,405,60,62,63,60
3,Venusaur,Grass,525,80,82,83,80
4,Charmander,Fire,309,39,52,43,65
5,Charmeleon,Fire,405,58,64,58,80
6,Charizard,Fire,534,78,84,78,100
7,Squirtle,Water,314,44,48,65,43
8,Wartortle,Water,405,59,63,80,58
9,Blastoise,Water,530,79,83,100,78
10,Caterpie,Bug,195,45,30,35,45
11,Metapod,Bug,205,50,20,55,30
12,Butterfree,Bug,395,60,45,50,70
13,Weedle,Bug,195,40,35,30,50
14,Kakuna,Bug,205,45,25,50,35
15,Beedrill,Bug,395,65,90,40,75
16,Pidgey,Normal,251,40,45,40,56
17,Pidgeotto,Normal,349,63,60,55,71
18,Pidgeot,Normal,479,83,80,75,101
19,Rattata,Normal,253,30,56,35,72
20,Raticate,Normal,413,55,81,60,97
21,Spearow,Normal,262,40,60,30,70
22,Fearow,Normal,442,65,90,65,100
23,Ekans,Poison,288,35,60,44,55
24,Arbok,Poison,448,60,95,69,80
25,Pikachu,Electric,320,35,55,40,90
26,Raichu,Electric,485,60,90,55,110
27,Sandshrew,Ground,300,50,75,85,40
28,Sandslash,Ground,450,75,100,110,65
29,Nidoran-F,Poison,275,55,47,52,41
30,Nidorina,Poison,365,70,62,67,56
31,Nidoqueen,Poison,505,90,92,87,76
32,Nidoran-M,Poison,273,46,57,40,50
33,Nidorino,Poison,365,61,72,57,65
34,Nidoking,Poison,505,81,102,77,85
35,Clefairy,Fairy,323,70,45,48,35
36,Clefable,Fairy,483,95,70,73,60
37,Vulpix,Fire,299,38,41,40,65
38,Ninetales,Fire,505,73,76,75,100
39,Jigglypuff,Normal,270,115,45,20,20
40,Wigglytuff,Normal,435,140,70,45,45
41,Zubat,Poison,245,40,45,35,55
42,Golbat,Poison,455,75,80,70,90
43,Oddish,Grass,320,45,50,55,30
44,Gloom,Grass,395,60,65,70,40
45,Vileplume,Grass,490,75,80,85,50
46,Paras,Bug,285,35,70,55,25
47,Parasect,Bug,405,60,95,80,30
48,Venonat,Bug,305,60,55,50,45
49,Venomoth,Bug,450,70,65,60,90
50,Diglett,Ground,265,10,55,25,95
